Player,Team,Season,Season Type,Games,Fast Break Pts,Points In Paint,Points off TO,2nd Chance PTS,Q1 Points Per Game,Q2 Points Per Game,Q3 Points Per Game,Q4 Points Per Game,Points scored per shot
Giannis Antetokounmpo,Bucks,2017-2018,REG,64,4.66,15.94,4.05,3.05,6.86,6.34,7.72,6.27,1.445
Anthony Davis,Pelicans,2017-2018,REG,59,3.46,14.95,4.22,4.63,8.14,7.12,6.66,5.88,1.438
LeBron James,Cavaliers,2017-2018,REG,68,4.29,14.18,4.04,2.19,7.99,6.19,6.35,6.31,1.42
Ben Simmons,76ers,2017-2018,REG,66,1.82,12.88,2.97,1.68,4.73,3.53,3.83,4.02,1.262
Clint Capela,Rockets,2017-2018,REG,62,0.89,12,1.92,2.66,3.55,3.85,3.65,3.16,1.532
TJ Warren,Suns,2017-2018,REG,64,4.73,12,3.52,2.75,4.66,4.92,5.39,4.72,1.2
Andre Drummond,Pistons,2017-2018,REG,66,1.18,11.82,2.26,5.45,4.21,2.79,4.41,3.48,1.322
Steven Adams,Thunder,2017-2018,REG,64,1.33,11.63,1.77,4.45,5.09,3.22,3.44,1.91,1.482
Julius Randle,Lakers,2017-2018,REG,68,2.71,11.44,2.43,2.81,4.96,3.9,3.41,3.35,1.462
DeMarcus Cousins,Pelicans,2017-2018,REG,46,1.89,11.43,3.39,3.26,6.7,6.39,5.67,6.2,1.398
Dwight Howard,Hornets,2017-2018,REG,69,0.59,11.42,2.23,3.72,5.93,2.84,5.42,2.19,1.481
Enes Kanter,Knicks,2017-2018,REG,64,0.66,11.28,1.61,4.58,5.25,3.17,4.7,0.98,1.41
Russell Westbrook,Thunder,2017-2018,REG,68,5.44,11.26,5.16,2.69,6.29,6.54,6.47,5.63,1.194
LaMarcus Aldridge,Spurs,2017-2018,REG,62,0.68,10.94,3.02,4.47,6.52,5.11,5.92,4.69,1.262
Joel Embiid,76ers,2017-2018,REG,56,0.52,10.43,2.36,3.02,6.59,5.16,6.07,5.43,1.369
Hassan Whiteside,Heat,2017-2018,REG,47,0.13,10.3,2.13,3.94,4.74,3.11,4.26,2.15,1.332
Karl-Anthony Towns,Timberwolves,2017-2018,REG,69,0.71,10.12,3.04,3.86,4.28,6.12,5.17,5.04,1.501
Jrue Holiday,Pelicans,2017-2018,REG,66,2.48,9.94,2.55,1.17,4.97,4.53,5.42,4.26,1.241
Jusuf Nurkic,Trail Blazers,2017-2018,REG,65,0.51,9.91,1.83,2.35,4.65,2.92,3.88,2.62,1.172
Rudy Gobert,Jazz,2017-2018,REG,43,0.67,9.86,1.95,3,3.44,3.93,3.47,2.98,1.688
DeAndre Jordan,Clippers,2017-2018,REG,62,1.4,9.68,1.77,3.76,3.97,2.84,3.19,2.05,1.619
Blake Griffin,"Clippers, Pistons",2017-2018,REG,52,1.27,9.65,3.27,2.27,6.73,5.21,6,3.67,1.243
James Harden,Rockets,2017-2018,REG,60,2.12,9.13,5.05,1.82,9.47,7.3,8.5,5.65,1.524
Taj Gibson,Timberwolves,2017-2018,REG,69,0.67,8.87,1.99,2.74,4.75,2.74,3.3,1.62,1.36
Elfrid Payton,"Magic, Suns",2017-2018,REG,58,2.53,8.86,1.72,1.1,4.07,2.47,3.95,2.66,1.217
Robin Lopez,Bulls,2017-2018,REG,61,0.23,8.85,1.2,1.84,5.38,2.08,3.61,0.75,1.178
Victor Oladipo,Pacers,2017-2018,REG,63,4.7,8.73,4.75,1.51,6.17,4.59,7.03,5.49,1.282
Willie Cauley-Stein,Kings,2017-2018,REG,60,1.13,8.6,1.87,1.58,3.38,3.07,2.77,3.3,1.188
DeMar DeRozan,Raptors,2017-2018,REG,68,2.16,8.56,3.84,1.56,6.72,4.47,7.82,4.32,1.319
Kyrie Irving,Celtics,2017-2018,REG,60,2.08,8.53,2.4,1.85,6.85,5.42,6.38,5.47,1.349
Nikola Vucevic,Magic,2017-2018,REG,46,1.35,8.48,2.33,2.04,5.8,3.3,5.63,2.41,1.176
Jimmy Butler,Timberwolves,2017-2018,REG,56,2.38,8.46,3.88,2.09,5.14,5.05,5.14,6.43,1.409
Tyreke Evans,Grizzlies,2017-2018,REG,50,3.2,8.4,3,1.2,4.28,5.34,4.42,5.3,1.25
Derrick Favors,Jazz,2017-2018,REG,65,0.6,8.4,1.75,2.48,3.65,2.69,3.15,2.54,1.337
Montrezl Harrell,Clippers,2017-2018,REG,61,2.15,8.26,1.72,1.51,1.28,4.3,1.21,3.52,1.557
Jonas Valanciunas,Raptors,2017-2018,REG,64,0.25,8.16,0.98,2.52,4.58,2.78,3.97,1.02,1.417
Andrew Wiggins,Timberwolves,2017-2018,REG,69,1.88,8.03,3.07,1.93,5.99,3.06,5.78,2.93,1.126
Michael Beasley,Knicks,2017-2018,REG,62,0.74,7.97,1.5,1.53,2.5,3.65,2.48,3.87,1.206
Dennis Schroder,Hawks,2017-2018,REG,64,1.53,7.94,3.56,0.88,4.83,5.09,5.3,3.88,1.128
Donovan Mitchell,Jazz,2017-2018,REG,66,2.21,7.94,2.88,1.67,4.3,3.97,5.27,6.11,1.19
John Wall,Wizards,2017-2018,REG,37,3.3,7.89,3.62,1.59,5.32,4,5.65,4.05,1.187
Greg Monroe,"Bucks, Suns, Celtics",2017-2018,REG,37,0.3,7.89,1.46,2.19,2.38,2.86,2.62,1.84,1.388
Zach Randolph,Kings,2017-2018,REG,57,0.39,7.82,1.6,2.61,4.79,3.19,5.02,1.72,1.134
Brandon Ingram,Lakers,2017-2018,REG,57,2.51,7.82,2.35,1.93,4.49,3.65,4.89,2.96,1.242
Kevin Durant,Warriors,2017-2018,REG,59,4.49,7.8,3.88,1.98,7.76,6.31,7.93,4.37,1.482
Goran Dragic,Heat,2017-2018,REG,64,2.25,7.63,3.16,0.92,5.14,4.31,4.45,3.36,1.193
John Collins,Hawks,2017-2018,REG,63,0.94,7.59,2.11,2.32,2.54,2.13,3.1,2.7,1.436
